chrom,start,end,midpoint,window_size,P1,P2,P3,outgroup,D,Z,sites_used,ABBA,BABA,passes_qc,abs_D,abs_Z
CM017351.1,2150001,2250000,2200000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,2200001,2300000,2250000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,2250001,2350000,2300000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,2300001,2400000,2350000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,2350001,2450000,2400000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,2400001,2500000,2450000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,2450001,2550000,2500000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,2500001,2600000,2550000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,2550001,2650000,2600000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,2600001,2700000,2650000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,2650001,2750000,2700000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,2700001,2800000,2750000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,2750001,2850000,2800000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,2800001,2900000,2850000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,2850001,2950000,2900000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,2900001,3000000,2950000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,2950001,3050000,3000000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,3000001,3100000,3050000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,3050001,3150000,3100000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,3100001,3200000,3150000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,3150001,3250000,3200000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,3200001,3300000,3250000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,3250001,3350000,3300000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,3300001,3400000,3350000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,3350001,3450000,3400000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,3400001,3500000,3450000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,3450001,3550000,3500000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,3500001,3600000,3550000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,3550001,3650000,3600000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,3600001,3700000,3650000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,3650001,3750000,3700000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,3700001,3800000,3750000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,3750001,3850000,3800000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,3800001,3900000,3850000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,3850001,3950000,3900000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,3900001,4000000,3950000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,3950001,4050000,4000000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,4000001,4100000,4050000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,4050001,4150000,4100000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,4100001,4200000,4150000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,4150001,4250000,4200000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,4200001,4300000,4250000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,4250001,4350000,4300000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,4300001,4400000,4350000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,4350001,4450000,4400000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,4400001,4500000,4450000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,4450001,4550000,4500000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,4500001,4600000,4550000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,4550001,4650000,4600000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,4600001,4700000,4650000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,4650001,4750000,4700000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,4700001,4800000,4750000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,4750001,4850000,4800000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,4800001,4900000,4850000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,4850001,4950000,4900000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,4900001,5000000,4950000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,4950001,5050000,5000000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,5000001,5100000,5050000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,5050001,5150000,5100000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,5100001,5200000,5150000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,5150001,5250000,5200000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,5200001,5300000,5250000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,5250001,5350000,5300000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,5300001,5400000,5350000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,5350001,5450000,5400000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,5400001,5500000,5450000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,5450001,5550000,5500000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,5500001,5600000,5550000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,5550001,5650000,5600000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,5600001,5700000,5650000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,5650001,5750000,5700000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,5700001,5800000,5750000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,5750001,5850000,5800000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,5800001,5900000,5850000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,5850001,5950000,5900000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,5900001,6000000,5950000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,5950001,6050000,6000000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,6000001,6100000,6050000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,6050001,6150000,6100000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,6100001,6200000,6150000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,6150001,6250000,6200000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,6200001,6300000,6250000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,6250001,6350000,6300000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,6300001,6400000,6350000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,6350001,6450000,6400000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,6400001,6500000,6450000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,6450001,6550000,6500000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,6500001,6600000,6550000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,6550001,6650000,6600000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,6600001,6700000,6650000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,6650001,6750000,6700000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,6700001,6800000,6750000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,6750001,6850000,6800000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,6800001,6900000,6850000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,6850001,6950000,6900000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,6900001,7000000,6950000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,6950001,7050000,7000000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,7000001,7100000,7050000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,7050001,7150000,7100000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,7100001,7200000,7150000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,7150001,7250000,7200000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,7200001,7300000,7250000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,7250001,7350000,7300000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,7300001,7400000,7350000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,7350001,7450000,7400000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,7400001,7500000,7450000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,7450001,7550000,7500000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,7500001,7600000,7550000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,7550001,7650000,7600000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,7600001,7700000,7650000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,7650001,7750000,7700000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,7700001,7800000,7750000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,7750001,7850000,7800000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,7800001,7900000,7850000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,7850001,7950000,7900000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,7900001,8000000,7950000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,7950001,8050000,8000000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,8000001,8100000,8050000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,8050001,8150000,8100000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,8100001,8200000,8150000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,8150001,8250000,8200000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,8200001,8300000,8250000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,8250001,8350000,8300000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,8300001,8400000,8350000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,8350001,8450000,8400000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,8400001,8500000,8450000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,8450001,8550000,8500000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,8500001,8600000,8550000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,8550001,8650000,8600000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,8600001,8700000,8650000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,8650001,8750000,8700000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,8700001,8800000,8750000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,8750001,8850000,8800000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,8800001,8900000,8850000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,8850001,8950000,8900000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,8900001,9000000,8950000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,8950001,9050000,9000000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,9000001,9100000,9050000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,9050001,9150000,9100000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,9100001,9200000,9150000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,9150001,9250000,9200000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,9200001,9300000,9250000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,9250001,9350000,9300000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,9300001,9400000,9350000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,9350001,9450000,9400000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,9400001,9500000,9450000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,9450001,9550000,9500000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,9500001,9600000,9550000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,9550001,9650000,9600000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,9600001,9700000,9650000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,9650001,9750000,9700000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,9700001,9800000,9750000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,9750001,9850000,9800000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,9800001,9900000,9850000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,9850001,9950000,9900000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,9900001,10000000,9950000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,9950001,10050000,10000000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,10000001,10100000,10050000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,10050001,10150000,10100000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,10100001,10200000,10150000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,10150001,10250000,10200000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,10200001,10300000,10250000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,10250001,10350000,10300000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,10300001,10400000,10350000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,10350001,10450000,10400000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,10400001,10500000,10450000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,10450001,10550000,10500000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,10500001,10600000,10550000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,10550001,10650000,10600000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,10600001,10700000,10650000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,10650001,10750000,10700000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,10700001,10800000,10750000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,10750001,10850000,10800000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,10800001,10900000,10850000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,10850001,10950000,10900000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,10900001,11000000,10950000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,10950001,11050000,11000000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,11000001,11100000,11050000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,11050001,11150000,11100000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,11100001,11200000,11150000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,11150001,11250000,11200000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,11200001,11300000,11250000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,11250001,11350000,11300000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,11300001,11400000,11350000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,11350001,11450000,11400000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,11400001,11500000,11450000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,11450001,11550000,11500000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,11500001,11600000,11550000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,11550001,11650000,11600000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,11600001,11700000,11650000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,11650001,11750000,11700000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,11700001,11800000,11750000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,11750001,11850000,11800000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,11800001,11900000,11850000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,11850001,11950000,11900000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,11900001,12000000,11950000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,11950001,12050000,12000000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,12000001,12100000,12050000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,12050001,12150000,12100000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,12100001,12200000,12150000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,12150001,12250000,12200000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,12200001,12300000,12250000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,12250001,12350000,12300000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,12300001,12400000,12350000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,12350001,12450000,12400000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,12400001,12500000,12450000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,12450001,12550000,12500000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,12500001,12600000,12550000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,12550001,12650000,12600000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,12600001,12700000,12650000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,12650001,12750000,12700000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,12700001,12800000,12750000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,12750001,12850000,12800000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,12800001,12900000,12850000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,12850001,12950000,12900000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,12900001,13000000,12950000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,12950001,13050000,13000000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,13000001,13100000,13050000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,13050001,13150000,13100000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,13100001,13200000,13150000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,13150001,13250000,13200000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,13200001,13300000,13250000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,13250001,13350000,13300000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,13300001,13400000,13350000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,13350001,13450000,13400000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,13400001,13500000,13450000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,13450001,13550000,13500000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,13500001,13600000,13550000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,13550001,13650000,13600000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,13600001,13700000,13650000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
